heure_id,enseignant_id,matiere_id,group_id,semestre_id,type_cours,volume_horaire,date_cours
HRE000101,ENS0007,MAT0013,22,1,CM,15,2024-03-17
HRE000102,ENS0007,MAT0014,17,1,CM,30,2023-04-15
HRE000103,ENS0007,MAT0026,30,4,TD,40,2023-04-15
HRE000104,ENS0008,MAT0005,13,3,TD,35,2023-04-15
HRE000105,ENS0008,MAT0007,25,1,TP,40,2023-04-16
HRE000106,ENS0008,MAT0035,18,3,TD,30,2024-04-16
HRE000107,ENS0008,MAT0021,21,1,TP,20,2023-03-17
HRE000108,ENS0008,MAT0025,2,2,TD,30,2024-03-17
HRE000109,ENS0008,MAT0015,19,1,PROJET,15,2023-03-17
HRE000110,ENS0008,MAT0017,6,2,PROJET,35,2023-04-15
HRE000111,ENS0008,MAT0005,12,1,TD,30,2023-05-17
HRE000112,ENS0008,MAT0017,21,3,CM,10,2024-05-16
HRE000113,ENS0008,MAT0019,20,1,PROJET,25,2023-03-16
HRE000114,ENS0008,MAT0020,7,1,TD,20,2024-04-15
HRE000115,ENS0008,MAT0027,26,4,CM,10,2024-03-16
HRE000116,ENS0008,MAT0009,13,2,PROJET,30,2024-04-16
HRE000117,ENS0008,MAT0005,11,3,TD,40,2023-04-15
HRE000118,ENS0008,MAT0031,17,1,TD,35,2024-03-17
HRE000119,ENS0008,MAT0002,7,1,CM,30,2023-05-16
HRE000120,ENS0009,MAT0004,11,3,CM,30,2023-04-16
HRE000121,ENS0009,MAT0033,18,1,TD,40,2024-04-16
HRE000122,ENS0009,MAT0017,24,3,PROJET,25,2023-03-16
HRE000123,ENS0009,MAT0002,23,4,TP,35,2023-03-16
HRE000124,ENS0009,MAT0033,12,3,TP,35,2023-03-16
HRE000125,ENS0009,MAT0028,8,1,PROJET,30,2023-05-16
HRE000126,ENS0009,MAT0024,9,4,PROJET,20,2023-03-16
HRE000127,ENS0009,MAT0028,8,2,PROJET,10,2024-04-15
HRE000128,ENS0009,MAT0008,9,3,TP,15,2023-04-16
HRE000129,ENS0009,MAT0011,6,2,CM,20,2023-03-17
HRE000130,ENS0009,MAT0006,7,4,PROJET,35,2024-04-16
HRE000131,ENS0009,MAT0004,14,4,CM,30,2023-04-15
HRE000132,ENS0009,MAT0028,10,4,PROJET,15,2024-04-15
HRE000133,ENS0009,MAT0024,8,1,CM,40,2023-03-16
HRE000134,ENS0009,MAT0017,27,2,TD,30,2024-05-17
HRE000135,ENS0009,MAT0026,23,4,TD,20,2023-03-16
HRE000136,ENS0009,MAT0028,24,2,PROJET,20,2023-03-16
HRE000137,ENS0009,MAT0004,19,2,TP,35,2024-05-16
HRE000138,ENS0009,MAT0017,4,4,TP,35,2024-04-16
HRE000139,ENS0010,MAT0014,14,1,TP,35,2024-05-16
HRE000140,ENS0010,MAT0002,23,2,PROJET,10,2024-04-15
HRE000141,ENS0010,MAT0004,16,1,TP,10,2024-03-17
HRE000142,ENS0010,MAT0011,6,2,TD,15,2024-04-16
HRE000143,ENS0010,MAT0004,5,1,PROJET,30,2023-05-16
HRE000144,ENS0010,MAT0021,4,4,CM,20,2024-04-16
HRE000145,ENS0010,MAT0031,3,1,PROJET,35,2023-05-17
HRE000146,ENS0010,MAT0009,5,4,CM,40,2024-05-16
HRE000147,ENS0010,MAT0006,2,2,PROJET,35,2024-04-16
HRE000148,ENS0010,MAT0033,3,4,TP,30,2024-04-16
HRE000149,ENS0010,MAT0011,22,4,TP,20,2023-04-15
HRE000150,ENS0010,MAT0013,19,4,CM,15,2023-03-16
HRE000151,ENS0010,MAT0018,9,4,CM,35,2023-05-17
HRE000152,ENS0010,MAT0013,24,1,TD,40,2023-04-15
HRE000153,ENS0010,MAT0026,16,2,PROJET,35,2024-04-16
HRE000154,ENS0010,MAT0020,9,4,CM,15,2024-03-16
HRE000155,ENS0010,MAT0014,16,1,CM,20,2023-03-16
HRE000156,ENS0010,MAT0031,5,4,CM,30,2023-04-15
HRE000157,ENS0010,MAT0035,16,1,TP,40,2023-03-16
HRE000158,ENS0010,MAT0031,7,1,PROJET,20,2024-04-16
HRE000159,ENS0011,MAT0005,12,3,TD,25,2023-05-17
HRE000160,ENS0011,MAT0030,21,4,PROJET,10,2023-03-16
HRE000161,ENS0011,MAT0007,27,3,CM,35,2024-04-16
HRE000162,ENS0011,MAT0010,3,3,PROJET,25,2023-04-16
HRE000163,ENS0011,MAT0011,13,3,CM,35,2023-04-16
HRE000164,ENS0011,MAT0014,13,2,PROJET,35,2023-04-15
HRE000165,ENS0012,MAT0030,15,3,PROJET,25,2023-04-15
HRE000166,ENS0012,MAT0008,16,2,TD,35,2024-04-15
HRE000167,ENS0012,MAT0030,15,3,TD,15,2024-05-16
HRE000168,ENS0012,MAT0030,16,3,PROJET,10,2024-05-17
HRE000169,ENS0012,MAT0012,13,4,PROJET,20,2023-03-16
HRE000170,ENS0012,MAT0018,24,2,PROJET,25,2024-05-16
HRE000171,ENS0012,MAT0029,13,2,PROJET,10,2024-04-16
HRE000172,ENS0012,MAT0022,18,2,PROJET,10,2023-05-17
HRE000173,ENS0012,MAT0029,22,3,CM,25,2024-04-16
HRE000174,ENS0012,MAT0023,2,4,TP,20,2024-03-16
HRE000175,ENS0012,MAT0033,13,3,CM,25,2024-04-15
HRE000176,ENS0012,MAT0019,25,1,CM,30,2024-05-16
HRE000177,ENS0012,MAT0014,8,4,TP,40,2023-04-15
HRE000178,ENS0012,MAT0020,10,4,TP,20,2024-03-17
HRE000179,ENS0013,MAT0035,11,2,PROJET,10,2023-04-15
HRE000180,ENS0013,MAT0002,23,3,TP,15,2024-05-17
HRE000181,ENS0013,MAT0023,6,3,CM,40,2024-05-17
HRE000182,ENS0013,MAT0007,9,4,CM,40,2023-05-17
HRE000183,ENS0013,MAT0005,22,2,PROJET,10,2023-04-16
HRE000184,ENS0013,MAT0023,12,1,TD,40,2024-03-17
HRE000185,ENS0013,MAT0010,14,4,PROJET,35,2024-04-16
HRE000186,ENS0013,MAT0032,21,1,TP,35,2024-03-16
HRE000187,ENS0014,MAT0011,11,2,CM,40,2023-04-15
HRE000188,ENS0014,MAT0033,23,4,TD,10,2024-05-17
HRE000189,ENS0014,MAT0025,2,2,TD,30,2023-03-17
HRE000190,ENS0014,MAT0023,6,4,CM,35,2024-04-16
HRE000191,ENS0014,MAT0015,17,4,PROJET,20,2023-05-16
HRE000192,ENS0014,MAT0031,23,4,PROJET,30,2024-03-16
HRE000193,ENS0014,MAT0028,8,1,PROJET,15,2024-04-15
HRE000194,ENS0014,MAT0027,14,3,CM,15,2023-05-17
HRE000195,ENS0014,MAT0023,12,3,CM,10,2024-05-16
HRE000196,ENS0014,MAT0034,19,1,CM,25,2023-03-16
HRE000197,ENS0015,MAT0031,15,3,CM,30,2023-03-17
HRE000198,ENS0015,MAT0033,11,2,TD,30,2024-03-17
HRE000199,ENS0015,MAT0035,16,4,TD,25,2024-03-16
HRE000200,ENS0015,MAT0013,19,2,TD,40,2023-03-17
HRE000201,ENS0015,MAT0001,15,2,CM,40,2024-03-16
HRE000202,ENS0015,MAT0003,23,1,TP,35,2024-03-16
HRE000203,ENS0015,MAT0011,2,2,CM,25,2024-04-15
HRE000204,ENS0015,MAT0016,20,2,CM,10,2023-05-16
HRE000205,ENS0015,MAT0031,11,2,TD,40,2023-05-17
HRE000206,ENS0015,MAT0026,27,2,TP,15,2024-05-17
HRE000207,ENS0015,MAT0017,8,4,CM,35,2024-05-16
HRE000208,ENS0015,MAT0016,7,1,CM,25,2023-03-16
HRE000209,ENS0015,MAT0007,4,3,TD,15,2023-03-17
HRE000210,ENS0015,MAT0025,16,1,TD,30,2024-05-17
HRE000211,ENS0016,MAT0005,30,3,TP,15,2024-05-16
HRE000212,ENS0016,MAT0011,22,3,TP,40,2024-04-15
HRE000213,ENS0016,MAT0031,2,1,TP,40,2024-05-16
HRE000214,ENS0016,MAT0016,9,2,CM,20,2024-03-16
HRE000215,ENS0016,MAT0025,19,4,CM,10,2024-03-17
HRE000216,ENS0016,MAT0018,2,4,TD,20,2023-05-16
HRE000217,ENS0016,MAT0013,21,4,PROJET,15,2024-04-15
HRE000218,ENS0017,MAT0029,13,2,CM,30,2023-03-17
HRE000219,ENS0017,MAT0016,15,4,CM,35,2024-05-16
HRE000220,ENS0017,MAT0034,25,3,TP,40,2024-04-16
HRE000221,ENS0017,MAT0023,4,3,PROJET,20,2024-03-17
HRE000222,ENS0017,MAT0018,17,3,TP,20,2024-04-16
HRE000223,ENS0017,MAT0022,20,2,TD,20,2024-05-16
HRE000224,ENS0017,MAT0030,3,3,PROJET,30,2023-04-16
HRE000225,ENS0017,MAT0004,3,3,TD,15,2023-03-17
HRE000226,ENS0017,MAT0027,14,1,TP,15,2023-04-16
HRE000227,ENS0017,MAT0002,25,3,PROJET,35,2023-04-15
HRE000228,ENS0017,MAT0029,10,1,CM,40,2023-04-16
HRE000229,ENS0017,MAT0008,8,2,PROJET,40,2024-03-16
HRE000230,ENS0017,MAT0017,22,1,CM,35,2024-05-16
HRE000231,ENS0017,MAT0025,1,3,TD,40,2023-04-16
HRE000232,ENS0017,MAT0028,16,1,TD,25,2024-05-16
HRE000233,ENS0017,MAT0014,15,3,TD,20,2024-04-16
HRE000234,ENS0017,MAT0033,26,1,TP,25,2024-04-15
HRE000235,ENS0017,MAT0010,10,1,CM,25,2024-05-16
HRE000236,ENS0018,MAT0020,27,1,TP,25,2023-04-15
HRE000237,ENS0018,MAT0019,12,1,CM,30,2024-03-16
HRE000238,ENS0018,MAT0032,26,3,CM,35,2024-05-17
HRE000239,ENS0018,MAT0026,24,4,PROJET,35,2024-05-17
HRE000240,ENS0018,MAT0005,9,2,TD,25,2024-04-15
HRE000241,ENS0018,MAT0035,28,3,TP,40,2024-04-16
HRE000242,ENS0018,MAT0008,14,1,PROJET,35,2023-05-17
HRE000243,ENS0018,MAT0027,2,3,CM,40,2024-04-15
HRE000244,ENS0018,MAT0020,30,2,CM,15,2024-05-16
HRE000245,ENS0018,MAT0013,24,3,PROJET,15,2023-04-15
HRE000246,ENS0018,MAT0032,23,1,CM,35,2024-05-16
HRE000247,ENS0018,MAT0032,3,3,PROJET,30,2024-03-17
HRE000248,ENS0018,MAT0013,27,3,TD,30,2024-04-15
HRE000249,ENS0018,MAT0030,9,2,PROJET,40,2023-03-17
HRE000250,ENS0018,MAT0005,15,1,TP,30,2024-03-17
HRE000251,ENS0018,MAT0028,26,1,CM,30,2024-03-17
HRE000252,ENS0018,MAT0017,15,2,CM,40,2024-04-15
HRE000253,ENS0018,MAT0019,5,4,PROJET,30,2023-05-17
HRE000254,ENS0019,MAT0024,30,2,PROJET,35,2024-03-16
HRE000255,ENS0019,MAT0015,26,2,TD,15,2023-04-15
HRE000256,ENS0019,MAT0026,23,1,CM,20,2024-05-16
HRE000257,ENS0019,MAT0016,8,4,PROJET,25,2024-05-17
HRE000258,ENS0019,MAT0003,9,2,TD,30,2023-04-16
HRE000259,ENS0019,MAT0024,15,4,TP,15,2023-05-17
HRE000260,ENS0019,MAT0008,15,4,PROJET,15,2024-03-16
HRE000261,ENS0020,MAT0024,15,3,CM,20,2023-03-16
HRE000262,ENS0020,MAT0002,25,4,TP,10,2023-04-15
HRE000263,ENS0020,MAT0012,29,1,PROJET,20,2023-05-17
HRE000264,ENS0020,MAT0007,29,2,TP,10,2023-05-17
HRE000265,ENS0020,MAT0002,17,1,CM,35,2023-03-17
HRE000266,ENS0020,MAT0032,3,1,TD,35,2023-05-16
HRE000267,ENS0021,MAT0032,5,1,TD,15,2023-03-17
HRE000268,ENS0021,MAT0018,9,3,PROJET,10,2024-04-16
HRE000269,ENS0021,MAT0018,12,4,CM,35,2023-05-17
HRE000270,ENS0021,MAT0024,4,1,TP,30,2024-04-15
HRE000271,ENS0021,MAT0023,16,2,TD,25,2024-05-16
HRE000272,ENS0021,MAT0015,9,3,TP,35,2023-03-16
HRE000273,ENS0021,MAT0017,23,3,TP,10,2023-04-16
HRE000274,ENS0021,MAT0016,11,2,CM,25,2023-04-15
HRE000275,ENS0021,MAT0022,3,3,TD,10,2023-04-15
HRE000276,ENS0021,MAT0019,10,1,TD,35,2024-03-17
HRE000277,ENS0021,MAT0011,20,3,TP,40,2024-04-15
HRE000278,ENS0021,MAT0010,19,1,CM,20,2024-05-16
HRE000279,ENS0022,MAT0035,15,1,TP,40,2024-03-16
HRE000280,ENS0022,MAT0029,17,4,TP,30,2024-03-17
HRE000281,ENS0022,MAT0005,29,4,TP,30,2024-04-15
HRE000282,ENS0022,MAT0015,3,3,PROJET,10,2024-04-16
HRE000283,ENS0022,MAT0006,5,3,CM,15,2024-05-16
HRE000284,ENS0022,MAT0023,24,4,TP,40,2023-05-17
HRE000285,ENS0022,MAT0033,12,3,TD,40,2024-05-16
HRE000286,ENS0022,MAT0022,27,1,PROJET,20,2024-04-16
HRE000287,ENS0022,MAT0032,8,3,PROJET,25,2024-04-15
HRE000288,ENS0022,MAT0017,22,2,TD,30,2024-04-16
HRE000289,ENS0022,MAT0027,24,2,PROJET,30,2023-05-17
HRE000290,ENS0022,MAT0020,8,2,CM,10,2023-04-16
HRE000291,ENS0022,MAT0034,20,3,PROJET,25,2023-03-16
HRE000292,ENS0022,MAT0012,15,1,TP,25,2024-03-17
HRE000293,ENS0022,MAT0019,22,4,PROJET,25,2024-03-16
HRE000294,ENS0023,MAT0015,21,4,CM,20,2023-04-16
HRE000295,ENS0023,MAT0011,2,2,TP,30,2024-03-16
HRE000296,ENS0023,MAT0019,20,2,TD,15,2023-04-16
HRE000297,ENS0023,MAT0035,27,1,CM,30,2024-03-16
HRE000298,ENS0023,MAT0022,24,4,PROJET,40,2024-04-16
HRE000299,ENS0023,MAT0033,25,1,TD,15,2024-05-17
HRE000300,ENS0023,MAT0034,4,1,PROJET,35,2024-03-16
HRE000301,ENS0023,MAT0010,12,2,TD,30,2024-05-16
HRE000302,ENS0023,MAT0018,15,4,TD,35,2024-03-17
HRE000303,ENS0023,MAT0022,10,1,TD,40,2023-03-17
HRE000304,ENS0023,MAT0015,6,1,TD,40,2024-03-16
HRE000305,ENS0023,MAT0026,22,1,CM,35,2023-04-15
HRE000306,ENS0023,MAT0018,6,2,PROJET,20,2024-03-16
HRE000307,ENS0024,MAT0033,17,4,TP,10,2023-04-16
HRE000308,ENS0024,MAT0015,15,3,TP,10,2024-03-16
HRE000309,ENS0024,MAT0008,20,2,CM,30,2023-05-16
HRE000310,ENS0024,MAT0031,24,4,CM,25,2023-05-17
HRE000311,ENS0024,MAT0027,7,4,TP,15,2024-03-17
HRE000312,ENS0024,MAT0006,9,4,TD,20,2024-03-17
HRE000313,ENS0024,MAT0023,16,2,CM,25,2023-03-17
HRE000314,ENS0024,MAT0025,4,1,TP,25,2024-03-17
HRE000315,ENS0024,MAT0031,13,4,CM,20,2023-03-16
HRE000316,ENS0024,MAT0019,20,2,CM,20,2024-05-17
HRE000317,ENS0024,MAT0034,18,4,TD,40,2023-04-15
HRE000318,ENS0024,MAT0013,8,1,TD,20,2023-05-16
HRE000319,ENS0024,MAT0018,24,1,CM,20,2024-04-15
HRE000320,ENS0024,MAT0019,3,4,TP,35,2023-04-15
HRE000321,ENS0024,MAT0030,16,1,TD,35,2023-04-15
HRE000322,ENS0024,MAT0025,12,3,PROJET,35,2024-04-15
HRE000323,ENS0024,MAT0021,17,1,PROJET,25,2024-03-17
HRE000324,ENS0024,MAT0009,3,2,TD,15,2024-03-17
HRE000325,ENS0024,MAT0020,2,1,PROJET,15,2024-04-16
HRE000326,ENS0025,MAT0003,18,4,TP,35,2024-05-16
HRE000327,ENS0025,MAT0027,7,2,TP,25,2023-05-16
HRE000328,ENS0025,MAT0025,21,3,PROJET,40,2023-03-17
HRE000329,ENS0025,MAT0008,18,1,TP,15,2024-03-17
HRE000330,ENS0025,MAT0005,17,1,TP,10,2024-05-16
HRE000331,ENS0025,MAT0019,3,3,PROJET,40,2024-03-17
HRE000332,ENS0025,MAT0004,23,3,TP,20,2024-04-15
HRE000333,ENS0025,MAT0025,21,2,TP,30,2024-03-17
HRE000334,ENS0025,MAT0002,21,4,TD,15,2023-03-16
HRE000335,ENS0025,MAT0026,23,3,TP,25,2024-05-17
HRE000336,ENS0025,MAT0018,25,3,PROJET,10,2023-04-15
HRE000337,ENS0026,MAT0016,21,4,TP,40,2024-04-16
HRE000338,ENS0026,MAT0021,23,1,PROJET,40,2023-03-17
HRE000339,ENS0026,MAT0022,2,4,PROJET,10,2023-04-16
HRE000340,ENS0026,MAT0014,26,4,TD,10,2023-05-17
HRE000341,ENS0026,MAT0024,9,2,TP,30,2023-05-16
HRE000342,ENS0026,MAT0024,28,3,TP,25,2024-05-16
HRE000343,ENS0026,MAT0003,23,3,CM,30,2024-03-16
HRE000344,ENS0026,MAT0025,20,3,PROJET,35,2023-05-16
HRE000345,ENS0026,MAT0027,28,4,CM,10,2024-05-16
HRE000346,ENS0026,MAT0018,11,3,TP,10,2023-04-16
HRE000347,ENS0026,MAT0002,23,4,TD,15,2023-04-16
HRE000348,ENS0026,MAT0023,21,2,CM,20,2023-03-17
HRE000349,ENS0026,MAT0006,23,4,TD,25,2023-03-17
HRE000350,ENS0026,MAT0019,20,4,TD,25,2023-03-16
HRE000351,ENS0026,MAT0010,5,1,PROJET,30,2024-04-16
HRE000352,ENS0026,MAT0010,28,1,PROJET,40,2024-05-16
HRE000353,ENS0027,MAT0026,8,4,PROJET,10,2023-03-16
HRE000354,ENS0027,MAT0032,17,4,TP,15,2024-03-16
HRE000355,ENS0027,MAT0019,27,2,TD,25,2023-03-16
HRE000356,ENS0027,MAT0016,2,2,TD,25,2024-04-15
HRE000357,ENS0027,MAT0016,8,2,TD,20,2024-03-17
HRE000358,ENS0027,MAT0024,7,2,TP,40,2023-03-16
HRE000359,ENS0027,MAT0023,25,4,TD,10,2023-05-16
HRE000360,ENS0027,MAT0010,5,1,PROJET,15,2024-05-16
HRE000361,ENS0027,MAT0032,8,3,TD,15,2023-05-16
HRE000362,ENS0027,MAT0021,8,2,TP,30,2023-05-17
HRE000363,ENS0027,MAT0001,22,2,TD,10,2024-04-15
HRE000364,ENS0027,MAT0012,2,3,CM,35,2023-05-16
HRE000365,ENS0027,MAT0032,12,2,TP,30,2024-05-17
HRE000366,ENS0027,MAT0002,11,1,PROJET,20,2023-03-16
HRE000367,ENS0027,MAT0001,10,4,TD,20,2023-03-17
HRE000368,ENS0027,MAT0016,20,3,PROJET,15,2024-03-16
HRE000369,ENS0028,MAT0021,17,4,CM,10,2023-04-15
HRE000370,ENS0028,MAT0006,2,3,TD,40,2023-03-16
HRE000371,ENS0028,MAT0007,19,2,TP,25,2024-03-17
HRE000372,ENS0028,MAT0025,22,4,CM,10,2023-03-16
HRE000373,ENS0028,MAT0026,19,3,TD,20,2024-05-16
HRE000374,ENS0028,MAT0034,13,1,TP,10,2023-05-17
HRE000375,ENS0028,MAT0006,21,4,TD,40,2024-04-16
HRE000376,ENS0028,MAT0031,26,4,TD,15,2024-05-16
HRE000377,ENS0028,MAT0028,26,4,PROJET,35,2024-04-15
HRE000378,ENS0028,MAT0029,16,4,TP,35,2024-03-16
HRE000379,ENS0028,MAT0025,14,2,PROJET,40,2023-04-15
HRE000380,ENS0028,MAT0017,7,1,TP,30,2024-03-17
HRE000381,ENS0028,MAT0005,9,4,TP,30,2023-04-16
HRE000382,ENS0028,MAT0011,22,1,CM,30,2024-03-16
HRE000383,ENS0029,MAT0013,15,1,CM,10,2024-04-15
HRE000384,ENS0029,MAT0005,11,1,TD,10,2024-05-17
HRE000385,ENS0029,MAT0031,22,1,TP,10,2024-03-17
HRE000386,ENS0029,MAT0032,12,4,TD,40,2023-04-16
HRE000387,ENS0029,MAT0002,11,4,TP,30,2024-05-16
HRE000388,ENS0029,MAT0028,29,4,PROJET,10,2023-04-16
HRE000389,ENS0029,MAT0023,12,3,PROJET,20,2023-03-16
HRE000390,ENS0029,MAT0007,21,2,PROJET,15,2024-04-16
HRE000391,ENS0029,MAT0016,20,1,TP,30,2023-04-15
HRE000392,ENS0029,MAT0003,3,2,TP,20,2023-05-16
HRE000393,ENS0029,MAT0004,21,2,TD,15,2024-05-17
HRE000394,ENS0029,MAT0025,26,4,TP,10,2023-03-17
HRE000395,ENS0029,MAT0022,14,2,PROJET,30,2024-03-17
HRE000396,ENS0029,MAT0029,23,4,PROJET,10,2023-04-16
HRE000397,ENS0029,MAT0029,21,4,CM,25,2023-05-16
HRE000398,ENS0029,MAT0027,20,3,TD,10,2024-04-15
HRE000399,ENS0029,MAT0005,16,2,TP,35,2023-05-17
HRE000400,ENS0029,MAT0016,22,3,CM,30,2023-04-16
HRE000401,ENS0029,MAT0004,25,2,CM,20,2024-04-16
HRE000402,ENS0030,MAT0009,14,4,TP,30,2024-03-17
