note_id,student_id,matiere_id,semestre_id,type_evaluation,note,coefficient,date_examen,group_id,note_ponderee
NOT000072,STU00010,MAT0031,3,EXAMEN,16.61,2,2023-04-15,11,33.22
NOT000073,STU00010,MAT0023,4,EXAMEN,11.89,2,2024-05-17,11,23.78
NOT000074,STU00010,MAT0029,4,PROJET,16.69,2,2023-05-16,11,33.38
NOT000075,STU00010,MAT0029,2,PROJET,4.14,1,2023-05-16,11,4.14
NOT000076,STU00010,MAT0002,3,PROJET,14.47,3,2023-05-16,11,43.41
NOT000077,STU00010,MAT0017,1,TP,12.26,1,2024-05-16,11,12.26
NOT000078,STU00010,MAT0014,2,PROJET,11.1,3,2023-05-17,11,33.300003
NOT000079,STU00011,MAT0029,1,PROJET,12.28,1,2024-04-15,2,12.28
NOT000080,STU00011,MAT0014,2,CC,6.04,3,2024-04-15,2,18.119999
NOT000081,STU00011,MAT0002,1,CC,11.34,2,2024-05-16,2,22.68
NOT000082,STU00011,MAT0006,1,TP,13.07,3,2023-04-15,2,39.21
NOT000083,STU00011,MAT0008,1,EXAMEN,16.43,3,2024-04-15,2,49.29
NOT000084,STU00011,MAT0003,3,TP,10.45,3,2024-05-16,2,31.349998
NOT000085,STU00011,MAT0021,2,CC,9.57,2,2023-04-15,2,19.14
NOT000086,STU00011,MAT0027,3,TP,10.49,2,2024-04-15,2,20.98
NOT000087,STU00011,MAT0032,3,TP,14.75,2,2023-05-17,2,29.5
NOT000088,STU00011,MAT0007,2,TP,12.99,2,2024-05-17,2,25.98
NOT000089,STU00012,MAT0017,2,TP,10.41,2,2023-04-15,3,20.82
NOT000090,STU00012,MAT0005,1,TP,13.54,1,2024-04-15,3,13.54
NOT000091,STU00012,MAT0031,3,PROJET,12.29,3,2023-04-15,3,36.87
NOT000092,STU00012,MAT0030,1,TP,14.91,1,2023-05-16,3,14.91
NOT000093,STU00012,MAT0032,1,TP,9.89,2,2023-04-16,3,19.78
NOT000094,STU00012,MAT0014,4,PROJET,11.02,2,2023-04-16,3,22.04
NOT000095,STU00012,MAT0032,1,PROJET,10.82,2,2024-04-15,3,21.64
NOT000096,STU00013,MAT0007,4,PROJET,7.61,3,2023-04-15,4,22.83
NOT000097,STU00013,MAT0019,1,EXAMEN,12.89,1,2023-04-15,4,12.89
NOT000098,STU00013,MAT0033,2,EXAMEN,12.78,3,2024-04-16,4,38.34
NOT000099,STU00013,MAT0033,4,EXAMEN,12.02,1,2023-05-17,4,12.02
NOT000100,STU00013,MAT0024,1,PROJET,11.3,2,2023-05-16,4,22.6
NOT000101,STU00013,MAT0014,4,EXAMEN,7.75,1,2024-05-17,4,7.75
NOT000102,STU00013,MAT0030,1,EXAMEN,10.74,2,2023-04-15,4,21.48
NOT000103,STU00013,MAT0031,1,TP,10.97,2,2024-05-16,4,21.94
NOT000104,STU00013,MAT0021,4,CC,9.59,2,2023-05-17,4,19.18
NOT000105,STU00013,MAT0016,4,CC,11.52,2,2024-04-15,4,23.04
NOT000106,STU00014,MAT0024,4,EXAMEN,13.21,2,2023-05-16,5,26.42
NOT000107,STU00014,MAT0001,2,TP,17.66,1,2024-05-16,5,17.66
NOT000108,STU00014,MAT0021,4,TP,12.52,2,2024-05-16,5,25.04
NOT000109,STU00014,MAT0028,1,PROJET,12.77,3,2023-05-16,5,38.31
NOT000110,STU00014,MAT0025,2,PROJET,11.78,3,2023-04-16,5,35.34
NOT000111,STU00014,MAT0001,3,PROJET,6.24,2,2024-04-15,5,12.48
NOT000112,STU00014,MAT0013,1,CC,11.92,3,2023-04-15,5,35.760002
NOT000113,STU00015,MAT0031,4,EXAMEN,12.18,1,2024-04-16,6,12.18
NOT000114,STU00015,MAT0014,4,PROJET,19.39,2,2024-04-15,6,38.78
NOT000115,STU00015,MAT0008,4,PROJET,11.42,3,2023-04-16,6,34.260002
NOT000116,STU00015,MAT0001,2,TP,12.9,3,2023-05-16,6,38.699997
NOT000117,STU00015,MAT0023,3,EXAMEN,11.9,2,2023-04-15,6,23.8
NOT000118,STU00015,MAT0012,4,CC,8.49,2,2023-04-15,6,16.98
NOT000119,STU00015,MAT0002,4,EXAMEN,15.43,2,2024-05-16,6,30.86
NOT000120,STU00015,MAT0018,4,TP,14.26,2,2024-05-16,6,28.52
NOT000121,STU00015,MAT0021,4,PROJET,14.37,1,2024-04-15,6,14.37
NOT000122,STU00016,MAT0015,4,EXAMEN,9.27,1,2024-04-15,7,9.27
NOT000123,STU00016,MAT0032,2,EXAMEN,16.21,3,2023-04-15,7,48.629997
NOT000124,STU00016,MAT0016,2,CC,7.79,2,2023-04-15,7,15.58
NOT000125,STU00016,MAT0003,3,PROJET,13.76,1,2024-05-17,7,13.76
NOT000126,STU00016,MAT0022,3,CC,18.57,3,2023-05-17,7,55.71
NOT000127,STU00016,MAT0013,3,CC,9.03,3,2023-05-17,7,27.09
NOT000128,STU00016,MAT0005,4,CC,10.3,2,2023-04-15,7,20.6
NOT000129,STU00017,MAT0005,1,EXAMEN,12.3,3,2024-05-16,8,36.9
NOT000130,STU00017,MAT0012,1,PROJET,10.49,2,2023-05-17,8,20.98
NOT000131,STU00017,MAT0035,3,PROJET,7.35,2,2024-04-16,8,14.7
NOT000132,STU00017,MAT0021,4,TP,12.21,3,2024-05-17,8,36.63
NOT000133,STU00017,MAT0033,3,CC,8.81,3,2023-05-16,8,26.43
NOT000134,STU00017,MAT0003,2,PROJET,13.42,2,2024-05-17,8,26.84
NOT000135,STU00017,MAT0033,2,PROJET,9.24,2,2023-04-16,8,18.48
NOT000136,STU00017,MAT0031,4,TP,16.65,2,2024-05-16,8,33.3
NOT000137,STU00018,MAT0029,4,EXAMEN,9.65,2,2024-05-17,9,19.3
NOT000138,STU00018,MAT0019,3,PROJET,11.03,3,2024-05-16,9,33.09
NOT000139,STU00018,MAT0003,1,EXAMEN,14.44,2,2024-04-16,9,28.88
NOT000140,STU00018,MAT0035,1,EXAMEN,8.31,3,2023-04-15,9,24.93
NOT000141,STU00018,MAT0015,4,TP,12.68,3,2024-05-17,9,38.04
NOT000142,STU00018,MAT0006,3,CC,15.92,2,2023-05-16,9,31.84
NOT000143,STU00019,MAT0031,2,PROJET,7.18,1,2024-05-17,10,7.18
NOT000144,STU00019,MAT0023,2,PROJET,12.55,2,2024-04-16,10,25.1
NOT000145,STU00019,MAT0035,1,CC,12.78,1,2024-05-17,10,12.78
NOT000146,STU00019,MAT0029,2,TP,14.35,1,2024-05-17,10,14.35
NOT000147,STU00019,MAT0021,4,EXAMEN,8.29,3,2023-04-15,10,24.869999
NOT000148,STU00019,MAT0007,3,PROJET,8.04,2,2024-04-15,10,16.08
NOT000149,STU00019,MAT0026,4,PROJET,13.57,2,2023-05-16,10,27.14
NOT000150,STU00019,MAT0011,1,TP,12.89,3,2023-04-16,10,38.670002
NOT000151,STU00019,MAT0035,3,TP,12.75,2,2024-05-16,10,25.5
NOT000152,STU00020,MAT0006,4,EXAMEN,13.04,2,2024-04-16,11,26.08
NOT000153,STU00020,MAT0019,2,EXAMEN,9.96,2,2023-04-16,11,19.92
NOT000154,STU00020,MAT0001,3,PROJET,12.7,3,2023-04-16,11,38.1
NOT000155,STU00020,MAT0014,2,EXAMEN,12.88,3,2024-05-16,11,38.64
NOT000156,STU00020,MAT0006,2,CC,9.86,1,2024-05-16,11,9.86
NOT000157,STU00020,MAT0035,4,CC,17.6,1,2024-04-16,11,17.6
NOT000158,STU00020,MAT0014,2,TP,13.42,3,2024-04-16,11,40.260002
NOT000159,STU00021,MAT0006,2,PROJET,8.43,1,2023-05-17,2,8.43
NOT000160,STU00021,MAT0017,3,EXAMEN,13.97,1,2023-05-16,2,13.97
NOT000161,STU00021,MAT0032,2,PROJET,9.08,3,2024-05-17,2,27.24
NOT000162,STU00021,MAT0010,3,EXAMEN,14.36,2,2024-05-17,2,28.72
NOT000163,STU00021,MAT0006,1,TP,15.48,2,2023-05-16,2,30.96
NOT000164,STU00021,MAT0013,4,EXAMEN,9.54,2,2023-04-16,2,19.08
NOT000165,STU00021,MAT0011,4,PROJET,14.89,1,2024-05-16,2,14.89
NOT000166,STU00021,MAT0026,1,PROJET,13.24,1,2023-05-17,2,13.24
NOT000167,STU00021,MAT0019,2,TP,14.47,2,2023-05-16,2,28.94
NOT000168,STU00022,MAT0004,1,PROJET,17.69,1,2023-04-16,3,17.69
NOT000169,STU00022,MAT0030,2,EXAMEN,11.26,2,2024-04-15,3,22.52
NOT000170,STU00022,MAT0035,4,TP,9.74,2,2024-05-17,3,19.48
NOT000171,STU00022,MAT0008,1,PROJET,9.33,2,2024-05-17,3,18.66
NOT000172,STU00022,MAT0013,1,CC,9.55,2,2024-04-15,3,19.1
NOT000173,STU00022,MAT0008,4,EXAMEN,11.77,2,2023-04-16,3,23.54
NOT000174,STU00022,MAT0032,2,PROJET,13.02,2,2023-05-17,3,26.04
NOT000175,STU00023,MAT0005,1,CC,12.83,2,2023-05-16,4,25.66
NOT000176,STU00023,MAT0007,4,EXAMEN,14.48,1,2023-05-17,4,14.48
NOT000177,STU00023,MAT0027,1,PROJET,12.04,2,2024-05-17,4,24.08
NOT000178,STU00023,MAT0030,3,TP,16.36,2,2023-04-16,4,32.72
NOT000179,STU00023,MAT0026,2,CC,11.21,2,2024-05-17,4,22.42
NOT000180,STU00023,MAT0027,3,TP,20.0,2,2024-05-16,4,40.0
NOT000181,STU00024,MAT0002,4,CC,13.88,2,2024-05-17,5,27.76
NOT000182,STU00024,MAT0006,1,EXAMEN,9.43,2,2023-04-15,5,18.86
NOT000183,STU00024,MAT0013,2,EXAMEN,8.79,2,2024-04-15,5,17.58
NOT000184,STU00024,MAT0006,1,PROJET,13.45,2,2024-04-16,5,26.9
NOT000185,STU00024,MAT0032,2,CC,11.33,2,2024-05-16,5,22.66
NOT000186,STU00024,MAT0024,1,CC,14.14,2,2024-05-17,5,28.28
NOT000187,STU00024,MAT0005,4,CC,13.42,2,2024-05-17,5,26.84
NOT000188,STU00024,MAT0014,1,PROJET,11.78,1,2024-04-16,5,11.78
NOT000189,STU00025,MAT0028,4,CC,9.46,2,2023-04-16,6,18.92
NOT000190,STU00025,MAT0010,3,CC,7.46,1,2024-04-15,6,7.46
NOT000191,STU00025,MAT0027,2,PROJET,10.66,3,2023-04-15,6,31.98
NOT000192,STU00025,MAT0006,2,CC,14.57,1,2024-05-17,6,14.57
NOT000193,STU00025,MAT0028,4,EXAMEN,12.64,2,2023-05-16,6,25.28
NOT000194,STU00025,MAT0022,3,PROJET,8.26,3,2023-04-16,6,24.78
NOT000195,STU00025,MAT0011,4,CC,12.52,2,2023-04-15,6,25.04
NOT000196,STU00025,MAT0007,4,PROJET,13.16,1,2023-05-16,6,13.16
NOT000197,STU00025,MAT0025,3,PROJET,9.35,2,2023-04-16,6,18.7
NOT000198,STU00026,MAT0014,4,PROJET,12.46,1,2023-04-16,7,12.46
NOT000199,STU00026,MAT0025,1,EXAMEN,12.17,3,2024-05-17,7,36.510002
NOT000200,STU00026,MAT0016,4,EXAMEN,8.57,2,2024-04-15,7,17.14
NOT000201,STU00026,MAT0030,2,EXAMEN,13.07,2,2024-05-16,7,26.14
NOT000202,STU00026,MAT0030,2,PROJET,13.68,1,2023-04-15,7,13.68
NOT000203,STU00026,MAT0034,2,TP,15.25,1,2023-04-15,7,15.25
NOT000204,STU00026,MAT0009,2,PROJET,15.16,2,2024-05-17,7,30.32
NOT000205,STU00026,MAT0022,1,TP,7.87,2,2023-04-16,7,15.74
NOT000206,STU00026,MAT0020,4,TP,9.19,2,2024-05-16,7,18.38
NOT000207,STU00026,MAT0026,2,TP,13.55,2,2024-04-15,7,27.1
NOT000208,STU00027,MAT0014,2,EXAMEN,13.54,2,2023-04-15,8,27.08
NOT000209,STU00027,MAT0009,1,TP,13.55,1,2023-05-17,8,13.55
NOT000210,STU00027,MAT0027,3,EXAMEN,20.0,3,2024-04-16,8,60.0
NOT000211,STU00027,MAT0002,2,TP,13.71,1,2023-05-17,8,13.71
NOT000212,STU00027,MAT0019,1,CC,15.41,2,2023-05-17,8,30.82
NOT000213,STU00027,MAT0014,1,PROJET,14.86,1,2023-04-15,8,14.86
NOT000214,STU00027,MAT0008,3,CC,13.95,2,2024-04-15,8,27.9
NOT000215,STU00027,MAT0014,4,CC,11.05,2,2024-05-16,8,22.1
NOT000216,STU00028,MAT0016,4,EXAMEN,14.28,1,2024-04-15,9,14.28
NOT000217,STU00028,MAT0002,3,CC,9.68,3,2024-05-16,9,29.04
NOT000218,STU00028,MAT0019,4,PROJET,11.29,2,2024-05-17,9,22.58
NOT000219,STU00028,MAT0020,4,TP,10.54,2,2024-05-17,9,21.08
NOT000220,STU00028,MAT0030,3,PROJET,12.25,3,2023-05-16,9,36.75
NOT000221,STU00028,MAT0022,2,EXAMEN,18.94,3,2024-05-16,9,56.82
NOT000222,STU00029,MAT0012,3,PROJET,6.4,3,2024-05-17,10,19.2
NOT000223,STU00029,MAT0006,3,TP,14.06,2,2024-05-17,10,28.12
NOT000224,STU00029,MAT0027,4,PROJET,7.16,2,2024-05-17,10,14.32
NOT000225,STU00029,MAT0012,1,TP,10.58,1,2024-05-17,10,10.58
NOT000226,STU00029,MAT0004,1,EXAMEN,15.27,2,2024-05-17,10,30.54
NOT000227,STU00029,MAT0007,2,EXAMEN,12.19,3,2024-04-16,10,36.57
NOT000228,STU00029,MAT0019,2,TP,8.77,1,2024-04-15,10,8.77
NOT000229,STU00029,MAT0021,2,PROJET,9.85,3,2023-04-15,10,29.550001
NOT000230,STU00030,MAT0012,2,EXAMEN,14.04,1,2023-04-16,11,14.04
NOT000231,STU00030,MAT0016,4,PROJET,9.81,2,2024-05-16,11,19.62
NOT000232,STU00030,MAT0015,3,CC,12.65,3,2024-05-17,11,37.949997
NOT000233,STU00030,MAT0023,2,TP,12.14,2,2024-05-17,11,24.28
NOT000234,STU00030,MAT0020,3,PROJET,10.05,3,2024-05-16,11,30.150002
NOT000235,STU00030,MAT0004,3,PROJET,18.43,2,2024-05-16,11,36.86
NOT000236,STU00030,MAT0010,4,PROJET,13.9,3,2024-05-17,11,41.699997
NOT000237,STU00030,MAT0025,3,CC,5.92,2,2023-05-16,11,11.84
NOT000238,STU00030,MAT0002,2,TP,12.56,3,2023-05-17,11,37.68
NOT000239,STU00031,MAT0007,2,EXAMEN,10.01,2,2024-05-17,2,20.02
NOT000240,STU00031,MAT0034,1,TP,14.56,3,2024-04-15,2,43.68
NOT000241,STU00031,MAT0008,2,CC,9.62,3,2023-05-16,2,28.86
NOT000242,STU00031,MAT0021,1,PROJET,11.66,1,2024-05-17,2,11.66
NOT000243,STU00031,MAT0023,2,EXAMEN,13.51,2,2024-04-15,2,27.02
NOT000244,STU00031,MAT0032,1,EXAMEN,14.6,1,2023-04-15,2,14.6
NOT000245,STU00031,MAT0025,3,CC,8.4,1,2023-05-16,2,8.4
NOT000246,STU00031,MAT0034,3,CC,11.0,1,2023-05-16,2,11.0
NOT000247,STU00031,MAT0033,2,PROJET,10.58,2,2024-05-16,2,21.16
NOT000248,STU00031,MAT0006,1,TP,10.04,3,2024-05-17,2,30.119999
NOT000249,STU00032,MAT0008,2,EXAMEN,17.3,3,2024-04-16,3,51.899998
NOT000250,STU00032,MAT0017,2,TP,13.21,1,2024-04-16,3,13.21
NOT000251,STU00032,MAT0024,2,CC,8.22,1,2023-05-16,3,8.22
NOT000252,STU00032,MAT0031,3,PROJET,14.75,1,2023-05-17,3,14.75
NOT000253,STU00032,MAT0016,1,EXAMEN,18.37,2,2024-05-17,3,36.74
NOT000254,STU00032,MAT0009,4,CC,15.1,2,2023-05-16,3,30.2
NOT000255,STU00032,MAT0001,1,TP,7.44,2,2024-05-16,3,14.88
NOT000256,STU00032,MAT0007,1,CC,10.55,3,2023-04-16,3,31.650002
NOT000257,STU00032,MAT0022,4,PROJET,15.8,2,2024-04-16,3,31.6
NOT000258,STU00032,MAT0012,4,TP,9.88,1,2023-04-16,3,9.88
NOT000259,STU00033,MAT0004,2,EXAMEN,13.33,3,2024-05-17,4,39.989998
NOT000260,STU00033,MAT0014,3,CC,14.32,3,2023-05-16,4,42.96
NOT000261,STU00033,MAT0006,3,CC,9.22,2,2024-04-16,4,18.44
NOT000262,STU00033,MAT0005,3,CC,11.82,3,2024-05-16,4,35.46
NOT000263,STU00033,MAT0002,4,CC,2.28,3,2023-05-17,4,6.84
NOT000264,STU00033,MAT0002,2,EXAMEN,8.93,2,2023-04-16,4,17.86
NOT000265,STU00033,MAT0013,1,CC,11.24,1,2023-05-17,4,11.24
NOT000266,STU00034,MAT0023,1,EXAMEN,8.26,3,2024-04-16,5,24.78
NOT000267,STU00034,MAT0032,2,TP,16.9,2,2024-04-15,5,33.8
NOT000268,STU00034,MAT0023,2,CC,7.71,2,2023-04-16,5,15.42
NOT000269,STU00034,MAT0001,3,PROJET,10.68,3,2024-05-16,5,32.04
NOT000270,STU00034,MAT0031,3,CC,12.39,3,2024-05-17,5,37.170002
NOT000271,STU00034,MAT0018,3,TP,16.32,3,2024-04-16,5,48.96
NOT000272,STU00034,MAT0006,1,EXAMEN,7.69,2,2024-04-15,5,15.38
NOT000273,STU00035,MAT0001,2,PROJET,15.49,2,2023-05-16,6,30.98
NOT000274,STU00035,MAT0029,2,EXAMEN,12.03,2,2024-04-15,6,24.06
NOT000275,STU00035,MAT0035,3,EXAMEN,9.06,1,2024-05-16,6,9.06
NOT000276,STU00035,MAT0011,4,PROJET,13.39,3,2024-04-16,6,40.170002
NOT000277,STU00035,MAT0001,3,TP,12.6,1,2023-05-16,6,12.6
NOT000278,STU00035,MAT0028,2,PROJET,10.2,2,2023-04-15,6,20.4
NOT000279,STU00035,MAT0029,2,TP,12.21,2,2023-05-16,6,24.42
NOT000280,STU00036,MAT0008,2,CC,10.84,3,2023-05-17,7,32.52
NOT000281,STU00036,MAT0020,2,TP,12.34,1,2023-05-17,7,12.34
NOT000282,STU00036,MAT0013,3,CC,13.99,3,2023-04-16,7,41.97
NOT000283,STU00036,MAT0018,2,EXAMEN,16.76,2,2023-04-16,7,33.52
NOT000284,STU00036,MAT0002,1,EXAMEN,8.29,2,2023-05-17,7,16.58
NOT000285,STU00036,MAT0023,4,EXAMEN,18.4,2,2024-05-16,7,36.8
NOT000286,STU00036,MAT0016,3,EXAMEN,6.14,2,2024-04-15,7,12.28
NOT000287,STU00036,MAT0030,2,TP,11.54,2,2024-05-16,7,23.08
NOT000288,STU00037,MAT0033,3,TP,13.76,2,2024-05-17,8,27.52
NOT000289,STU00037,MAT0015,3,EXAMEN,12.84,1,2024-04-15,8,12.84
NOT000290,STU00037,MAT0029,4,PROJET,10.13,2,2023-04-15,8,20.26
NOT000291,STU00037,MAT0001,1,TP,11.38,2,2024-05-17,8,22.76
NOT000292,STU00037,MAT0008,2,TP,10.52,3,2023-05-17,8,31.560001
NOT000293,STU00037,MAT0034,1,PROJET,10.23,3,2024-04-15,8,30.689999
NOT000294,STU00037,MAT0011,2,TP,14.55,1,2024-05-17,8,14.55
NOT000295,STU00037,MAT0003,1,CC,13.07,2,2023-04-16,8,26.14
NOT000296,STU00037,MAT0010,2,TP,9.92,2,2024-04-16,8,19.84
NOT000297,STU00037,MAT0013,3,TP,14.7,3,2023-04-15,8,44.1
NOT000298,STU00038,MAT0014,3,EXAMEN,12.92,1,2023-05-17,9,12.92
NOT000299,STU00038,MAT0007,2,EXAMEN,14.44,3,2024-04-16,9,43.32
NOT000300,STU00038,MAT0013,1,PROJET,13.89,3,2023-04-15,9,41.670002
NOT000301,STU00038,MAT0018,4,TP,9.51,3,2024-05-16,9,28.53
NOT000302,STU00038,MAT0025,2,EXAMEN,10.32,1,2024-05-17,9,10.32
NOT000303,STU00038,MAT0021,4,CC,14.24,2,2023-05-16,9,28.48
NOT000304,STU00038,MAT0021,2,EXAMEN,13.83,2,2023-05-16,9,27.66
NOT000305,STU00039,MAT0032,4,TP,11.94,3,2023-05-17,10,35.82
NOT000306,STU00039,MAT0020,4,TP,12.35,2,2024-05-16,10,24.7
NOT000307,STU00039,MAT0035,2,PROJET,15.83,1,2024-04-16,10,15.83
NOT000308,STU00039,MAT0026,3,TP,10.23,2,2023-05-16,10,20.46
NOT000309,STU00039,MAT0033,3,CC,13.64,1,2023-05-16,10,13.64
NOT000310,STU00039,MAT0017,3,CC,11.39,3,2024-04-15,10,34.170002
NOT000311,STU00039,MAT0030,2,PROJET,11.35,1,2023-04-15,10,11.35
NOT000312,STU00040,MAT0008,3,CC,15.3,2,2023-05-16,11,30.6
NOT000313,STU00040,MAT0028,4,EXAMEN,14.48,2,2023-04-16,11,28.96
NOT000314,STU00040,MAT0023,4,CC,14.44,2,2024-05-17,11,28.88
NOT000315,STU00040,MAT0018,4,CC,15.92,3,2023-05-17,11,47.760002
NOT000316,STU00040,MAT0015,1,EXAMEN,12.06,1,2023-05-16,11,12.06
NOT000317,STU00040,MAT0016,4,EXAMEN,14.05,2,2024-04-16,11,28.1
NOT000318,STU00040,MAT0014,3,TP,11.07,2,2023-05-16,11,22.14
NOT000319,STU00040,MAT0022,3,CC,12.97,2,2023-05-16,11,25.94
NOT000320,STU00041,MAT0014,3,CC,11.61,2,2024-04-16,2,23.22
NOT000321,STU00041,MAT0003,3,EXAMEN,12.29,3,2024-05-17,2,36.87
NOT000322,STU00041,MAT0024,1,PROJET,13.79,1,2023-05-16,2,13.79
NOT000323,STU00041,MAT0014,4,TP,9.55,2,2024-04-16,2,19.1
NOT000324,STU00041,MAT0020,4,PROJET,18.28,3,2023-05-17,2,54.840004
NOT000325,STU00041,MAT0014,2,TP,8.98,2,2024-05-16,2,17.96
NOT000326,STU00041,MAT0007,3,EXAMEN,8.36,2,2023-04-16,2,16.72
