HeureID;EnseignantID;MatiereID;GroupID;SemestreID;TypeCours;VolumeHoraire;DateCours
HRE000192;ENS0014;MAT0031;52;3;PROJET;30;16-03-0013
HRE000193;ENS0014;MAT0028;7;3;PROJET;15;15-04-0029
HRE000194;ENS0014;MAT0027;13;3;CM;15;17-05-0018
HRE000195;ENS0014;MAT0023;11;3;CM;10;16-05-0033
HRE000196;ENS0014;MAT0034;18;3;CM;25;16-03-0008
HRE000197;ENS0015;MAT0031;44;3;CM;30;17-03-0026
HRE000198;ENS0015;MAT0033;40;3;TD;30;17-03-0027
HRE000199;ENS0015;MAT0035;45;3;TD;25;16-03-0025
HRE000200;ENS0015;MAT0013;18;3;TD;40;17-03-0014
HRE000201;ENS0015;MAT0001;44;3;CM;40;16-03-0021
HRE000202;ENS0015;MAT0003;22;3;TP;35;16-03-0033
HRE000203;ENS0015;MAT0011;31;3;CM;25;15-04-0021
HRE000204;ENS0015;MAT0016;49;3;CM;10;16-05-0032
HRE000205;ENS0015;MAT0031;10;3;TD;40;17-05-0018
HRE000206;ENS0015;MAT0026;56;3;TP;15;17-05-0023
HRE000207;ENS0015;MAT0017;7;3;CM;35;16-05-0029
HRE000208;ENS0015;MAT0016;36;3;CM;25;16-03-0020
HRE000209;ENS0015;MAT0007;33;3;TD;15;17-03-0014
HRE000210;ENS0015;MAT0025;45;3;TD;30;17-05-0023
HRE000211;ENS0016;MAT0005;29;3;TP;15;16-05-0033
HRE000212;ENS0016;MAT0011;21;3;TP;40;15-04-0021
HRE000213;ENS0016;MAT0031;31;3;TP;40;16-05-0029
HRE000214;ENS0016;MAT0016;38;3;CM;20;16-03-0017
HRE000215;ENS0016;MAT0025;48;3;CM;10;17-03-0007
HRE000216;ENS0016;MAT0018;1;3;TD;20;16-05-0020
HRE000217;ENS0016;MAT0013;20;3;PROJET;15;15-04-0025
HRE000218;ENS0017;MAT0029;42;3;CM;30;17-03-0026
HRE000219;ENS0017;MAT0016;14;3;CM;35;16-05-0021
HRE000220;ENS0017;MAT0034;54;3;TP;40;16-04-0007
HRE000221;ENS0017;MAT0023;3;3;PROJET;20;17-03-0015
HRE000222;ENS0017;MAT0018;46;3;TP;20;16-04-0031
HRE000223;ENS0017;MAT0022;49;3;TD;20;16-05-0025
HRE000224;ENS0017;MAT0030;2;3;PROJET;30;16-04-0026
HRE000225;ENS0017;MAT0004;2;3;TD;15;17-03-0034
HRE000226;ENS0017;MAT0027;13;3;TP;15;16-04-0030
HRE000227;ENS0017;MAT0002;54;3;PROJET;35;15-04-0012
HRE000228;ENS0017;MAT0029;39;3;CM;40;16-04-0034
HRE000229;ENS0017;MAT0008;7;3;PROJET;40;16-03-0009
HRE000230;ENS0017;MAT0017;21;3;CM;35;16-05-0033
HRE000231;ENS0017;MAT0025;30;3;TD;40;16-04-0018
HRE000232;ENS0017;MAT0028;45;3;TD;25;16-05-0009
HRE000233;ENS0017;MAT0014;44;3;TD;20;16-04-0027
HRE000234;ENS0017;MAT0033;25;3;TP;25;15-04-0009
HRE000235;ENS0017;MAT0010;39;3;CM;25;16-05-0009
HRE000236;ENS0018;MAT0020;26;3;TP;25;15-04-0024
HRE000237;ENS0018;MAT0019;11;3;CM;30;16-03-0021
HRE000238;ENS0018;MAT0032;25;3;CM;35;17-05-0011
HRE000239;ENS0018;MAT0026;23;3;PROJET;35;17-05-0019
HRE000240;ENS0018;MAT0005;38;3;TD;25;15-04-0033
HRE000241;ENS0018;MAT0035;27;3;TP;40;16-04-0019
HRE000242;ENS0018;MAT0008;43;3;PROJET;35;17-05-0010
HRE000243;ENS0018;MAT0027;31;3;CM;40;15-04-0021
HRE000244;ENS0018;MAT0020;29;3;CM;15;16-05-0009
HRE000245;ENS0018;MAT0013;23;3;PROJET;15;15-04-0012
HRE000246;ENS0018;MAT0032;22;3;CM;35;16-05-0021
HRE000247;ENS0018;MAT0032;32;3;PROJET;30;17-03-0015
HRE000248;ENS0018;MAT0013;56;3;TD;30;15-04-0025
HRE000249;ENS0018;MAT0030;8;3;PROJET;40;17-03-0030
HRE000250;ENS0018;MAT0005;14;3;TP;30;17-03-0027
HRE000251;ENS0018;MAT0028;25;3;CM;30;17-03-0019
HRE000252;ENS0018;MAT0017;14;3;CM;40;15-04-0025
HRE000253;ENS0018;MAT0019;4;3;PROJET;30;17-05-0010
HRE000254;ENS0019;MAT0024;29;3;PROJET;35;16-03-0013
HRE000255;ENS0019;MAT0015;55;3;TD;15;15-04-0020
HRE000256;ENS0019;MAT0026;52;3;CM;20;16-05-0009
HRE000257;ENS0019;MAT0016;7;3;PROJET;25;17-05-0007
HRE000258;ENS0019;MAT0003;8;3;TD;30;16-04-0034
HRE000259;ENS0019;MAT0024;14;3;TP;15;17-05-0026
HRE000260;ENS0019;MAT0008;14;3;PROJET;15;16-03-0017
HRE000261;ENS0020;MAT0024;44;3;CM;20;16-03-0020
HRE000262;ENS0020;MAT0002;54;3;TP;10;15-04-0008
HRE000263;ENS0020;MAT0012;28;3;PROJET;20;17-05-0026
HRE000264;ENS0020;MAT0007;28;3;TP;10;17-05-0010
HRE000265;ENS0020;MAT0002;46;3;CM;35;17-03-0010
HRE000266;ENS0020;MAT0032;2;3;TD;35;16-05-0028
HRE000267;ENS0021;MAT0032;4;3;TD;15;17-03-0026
HRE000268;ENS0021;MAT0018;8;3;PROJET;10;16-04-0019
HRE000269;ENS0021;MAT0018;41;3;CM;35;17-05-0018
HRE000270;ENS0021;MAT0024;33;3;TP;30;15-04-0025
HRE000271;ENS0021;MAT0023;15;3;TD;25;16-05-0029
HRE000272;ENS0021;MAT0015;38;3;TP;35;16-03-0012
HRE000273;ENS0021;MAT0017;52;3;TP;10;16-04-0018
HRE000274;ENS0021;MAT0016;10;3;CM;25;15-04-0008
HRE000275;ENS0021;MAT0022;2;3;TD;10;15-04-0028
HRE000276;ENS0021;MAT0019;39;3;TD;35;17-03-0023
HRE000277;ENS0021;MAT0011;19;3;TP;40;15-04-0033
HRE000278;ENS0021;MAT0010;48;3;CM;20;16-05-0029
HRE000279;ENS0022;MAT0035;44;3;TP;40;16-03-0013
HRE000280;ENS0022;MAT0029;16;3;TP;30;17-03-0031
HRE000281;ENS0022;MAT0005;28;3;TP;30;15-04-0017
HRE000282;ENS0022;MAT0015;32;3;PROJET;10;16-04-0015
HRE000283;ENS0022;MAT0006;4;3;CM;15;16-05-0029
HRE000284;ENS0022;MAT0023;53;3;TP;40;17-05-0026
HRE000285;ENS0022;MAT0033;41;3;TD;40;16-05-0021
HRE000286;ENS0022;MAT0022;26;3;PROJET;20;16-04-0015
HRE000287;ENS0022;MAT0032;37;3;PROJET;25;15-04-0017
HRE000288;ENS0022;MAT0017;21;3;TD;30;16-04-0011
HRE000289;ENS0022;MAT0027;23;3;PROJET;30;17-05-0030
HRE000290;ENS0022;MAT0020;37;3;CM;10;16-04-0010
HRE000291;ENS0022;MAT0034;49;3;PROJET;25;16-03-0032
HRE000292;ENS0022;MAT0012;44;3;TP;25;17-03-0031
HRE000293;ENS0022;MAT0019;51;3;PROJET;25;16-03-0013
HRE000294;ENS0023;MAT0015;20;3;CM;20;16-04-0022
HRE000295;ENS0023;MAT0011;31;3;TP;30;16-03-0021
HRE000296;ENS0023;MAT0019;49;3;TD;15;16-04-0034
HRE000297;ENS0023;MAT0035;56;3;CM;30;16-03-0025
HRE000298;ENS0023;MAT0022;23;3;PROJET;40;16-04-0011
HRE000299;ENS0023;MAT0033;54;3;TD;15;17-05-0015
HRE000300;ENS0023;MAT0034;33;3;PROJET;35;16-03-0009
HRE000301;ENS0023;MAT0010;41;3;TD;30;16-05-0029
HRE000302;ENS0023;MAT0018;14;3;TD;35;17-03-0011
HRE000303;ENS0023;MAT0022;39;3;TD;40;17-03-0010
HRE000304;ENS0023;MAT0015;35;3;TD;40;16-03-0017
HRE000305;ENS0023;MAT0026;51;3;CM;35;15-04-0020
HRE000306;ENS0023;MAT0018;35;3;PROJET;20;16-03-0009
HRE000307;ENS0024;MAT0033;46;3;TP;10;16-04-0034
HRE000308;ENS0024;MAT0015;14;3;TP;10;16-03-0009
HRE000309;ENS0024;MAT0008;19;3;CM;30;16-05-0032
HRE000310;ENS0024;MAT0031;53;3;CM;25;17-05-0022
HRE000311;ENS0024;MAT0027;36;3;TP;15;17-03-0007
HRE000312;ENS0024;MAT0006;8;3;TD;20;17-03-0007
HRE000313;ENS0024;MAT0023;45;3;CM;25;17-03-0018
HRE000314;ENS0024;MAT0025;3;3;TP;25;17-03-0027
HRE000315;ENS0024;MAT0031;42;3;CM;20;16-03-0012
HRE000316;ENS0024;MAT0019;49;3;CM;20;17-05-0023
HRE000317;ENS0024;MAT0034;47;3;TD;40;15-04-0016
HRE000318;ENS0024;MAT0013;37;3;TD;20;16-05-0028
HRE000319;ENS0024;MAT0018;23;3;CM;20;15-04-0025
HRE000320;ENS0024;MAT0019;2;3;TP;35;15-04-0020
HRE000321;ENS0024;MAT0030;15;3;TD;35;15-04-0028
HRE000322;ENS0024;MAT0025;41;3;PROJET;35;15-04-0033
HRE000323;ENS0024;MAT0021;46;3;PROJET;25;17-03-0019
HRE000324;ENS0024;MAT0009;32;3;TD;15;17-03-0023
HRE000325;ENS0024;MAT0020;1;3;PROJET;15;16-04-0007
HRE000326;ENS0025;MAT0003;47;3;TP;35;16-05-0033
HRE000327;ENS0025;MAT0027;36;3;TP;25;16-05-0032
HRE000328;ENS0025;MAT0025;50;3;PROJET;40;17-03-0022
HRE000329;ENS0025;MAT0008;47;3;TP;15;17-03-0023
HRE000330;ENS0025;MAT0005;46;3;TP;10;16-05-0009
HRE000331;ENS0025;MAT0019;32;3;PROJET;40;17-03-0011
HRE000332;ENS0025;MAT0004;52;3;TP;20;15-04-0017
HRE000333;ENS0025;MAT0025;50;3;TP;30;17-03-0027
HRE000334;ENS0025;MAT0002;50;3;TD;15;16-03-0012
HRE000335;ENS0025;MAT0026;52;3;TP;25;17-05-0011
HRE000336;ENS0025;MAT0018;54;3;PROJET;10;15-04-0024
HRE000337;ENS0026;MAT0016;20;3;TP;40;16-04-0007
HRE000338;ENS0026;MAT0021;52;3;PROJET;40;17-03-0026
HRE000339;ENS0026;MAT0022;31;3;PROJET;10;16-04-0030
HRE000340;ENS0026;MAT0014;55;3;TD;10;17-05-0018
HRE000341;ENS0026;MAT0024;8;3;TP;30;16-05-0012
HRE000342;ENS0026;MAT0024;27;3;TP;25;16-05-0025
HRE000343;ENS0026;MAT0003;52;3;CM;30;16-03-0013
HRE000344;ENS0026;MAT0025;49;3;PROJET;35;16-05-0024
HRE000345;ENS0026;MAT0027;27;3;CM;10;16-05-0033
HRE000346;ENS0026;MAT0018;10;3;TP;10;16-04-0034
HRE000347;ENS0026;MAT0002;52;3;TD;15;16-04-0018
HRE000348;ENS0026;MAT0023;50;3;CM;20;17-03-0022
HRE000349;ENS0026;MAT0006;22;3;TD;25;17-03-0030
HRE000350;ENS0026;MAT0019;49;3;TD;25;16-03-0016
HRE000351;ENS0026;MAT0010;34;3;PROJET;30;16-04-0007
HRE000352;ENS0026;MAT0010;27;3;PROJET;40;16-05-0009
HRE000353;ENS0027;MAT0026;37;3;PROJET;10;16-03-0032
HRE000354;ENS0027;MAT0032;16;3;TP;15;16-03-0029
HRE000355;ENS0027;MAT0019;56;3;TD;25;16-03-0028
HRE000356;ENS0027;MAT0016;31;3;TD;25;15-04-0029
HRE000357;ENS0027;MAT0016;37;3;TD;20;17-03-0011
HRE000358;ENS0027;MAT0024;6;3;TP;40;16-03-0024
HRE000359;ENS0027;MAT0023;24;3;TD;10;16-05-0032
HRE000360;ENS0027;MAT0010;34;3;PROJET;15;16-05-0033
HRE000361;ENS0027;MAT0032;7;3;TD;15;16-05-0008
HRE000362;ENS0027;MAT0021;7;3;TP;30;17-05-0026
HRE000363;ENS0027;MAT0001;51;3;TD;10;15-04-0025
HRE000364;ENS0027;MAT0012;1;3;CM;35;16-05-0012
HRE000365;ENS0027;MAT0032;41;3;TP;30;17-05-0031
HRE000366;ENS0027;MAT0002;40;3;PROJET;20;16-03-0008
HRE000367;ENS0027;MAT0001;39;3;TD;20;17-03-0030
HRE000368;ENS0027;MAT0016;19;3;PROJET;15;16-03-0033
HRE000369;ENS0028;MAT0021;16;3;CM;10;15-04-0028
HRE000370;ENS0028;MAT0006;31;3;TD;40;16-03-0024
HRE000371;ENS0028;MAT0007;48;3;TP;25;17-03-0023
HRE000372;ENS0028;MAT0025;51;3;CM;10;16-03-0024
HRE000373;ENS0028;MAT0026;48;3;TD;20;16-05-0033
HRE000374;ENS0028;MAT0034;12;3;TP;10;17-05-0034
HRE000375;ENS0028;MAT0006;50;3;TD;40;16-04-0027
HRE000376;ENS0028;MAT0031;25;3;TD;15;16-05-0025
HRE000377;ENS0028;MAT0028;55;3;PROJET;35;15-04-0021
HRE000378;ENS0028;MAT0029;15;3;TP;35;16-03-0033
HRE000379;ENS0028;MAT0025;13;3;PROJET;40;15-04-0008
HRE000380;ENS0028;MAT0017;36;3;TP;30;17-03-0019
HRE000381;ENS0028;MAT0005;8;3;TP;30;16-04-0014
HRE000382;ENS0028;MAT0011;21;3;CM;30;16-03-0017
HRE000383;ENS0029;MAT0013;44;3;CM;10;15-04-0029
HRE000384;ENS0029;MAT0005;10;3;TD;10;17-05-0027
HRE000385;ENS0029;MAT0031;51;3;TP;10;17-03-0027
HRE000386;ENS0029;MAT0032;41;3;TD;40;16-04-0022
HRE000387;ENS0029;MAT0002;40;3;TP;30;16-05-0009
HRE000388;ENS0029;MAT0028;28;3;PROJET;10;16-04-0034
HRE000389;ENS0029;MAT0023;11;3;PROJET;20;16-03-0028
HRE000390;ENS0029;MAT0007;20;3;PROJET;15;16-04-0011
HRE000391;ENS0029;MAT0016;19;3;TP;30;15-04-0024
HRE000392;ENS0029;MAT0003;2;3;TP;20;16-05-0016
HRE000393;ENS0029;MAT0004;20;3;TD;15;17-05-0027
HRE000394;ENS0029;MAT0025;55;3;TP;10;17-03-0026
HRE000395;ENS0029;MAT0022;13;3;PROJET;30;17-03-0007
HRE000396;ENS0029;MAT0029;52;3;PROJET;10;16-04-0022
HRE000397;ENS0029;MAT0029;50;3;CM;25;16-05-0016
HRE000398;ENS0029;MAT0027;49;3;TD;10;15-04-0009
HRE000399;ENS0029;MAT0005;45;3;TP;35;17-05-0030
HRE000400;ENS0029;MAT0016;21;3;CM;30;16-04-0034
HRE000401;ENS0029;MAT0004;54;3;CM;20;16-04-0019
HRE000402;ENS0030;MAT0009;43;3;TP;30;17-03-0015
